T,F_channel,F_composed,T_eff_fit,KL_bits
2.469999999999999751e+00,8.966868865257655585e-01,9.623729600597622502e-01,2.429035753216700400e+00,3.349916048481647174e-02
2.479999999999999982e+00,8.911964283625749550e-01,9.569357529040175558e-01,2.447600512101184123e+00,3.390071850027708000e-02
2.490000000000000213e+00,8.854413876370834657e-01,9.512068512897932093e-01,2.466243253847620664e+00,3.429638911799270246e-02
2.500000000000000000e+00,8.794328163580875657e-01,9.451977235671490396e-01,2.484963455500173168e+00,3.468601186446306633e-02
2.509999999999999787e+00,8.731818256225375441e-01,9.389199266273495770e-01,2.503760592029549592e+00,3.506943492642208837e-02
2.520000000000000018e+00,8.666995588481071211e-01,9.323850774201491998e-01,2.522634136552533768e+00,3.544651518400999957e-02
2.530000000000000249e+00,8.599971660210535829e-01,9.256048252130325560e-01,2.541583560552928667e+00,3.581711822103753745e-02
2.540000000000000036e+00,8.530857790012384978e-01,9.185908250431417121e-01,2.560608334088516180e+00,3.618111831797250766e-02
2.549999999999999822e+00,8.459764879486101341e-01,9.113547123294660768e-01,2.579707926001745477e+00,3.653839842298764462e-02
2.560000000000000053e+00,8.386803188899425443e-01,9.039080784844990557e-01,2.598881804117443295e+00,3.688885010691482502e-02
2.570000000000000284e+00,8.312082124727349086e-01,8.962624478843909115e-01,2.618129435440746278e+00,3.723237349904018334e-02
2.580000000000000071e+00,8.235710039171230124e-01,8.884292559218266438e-01,2.637450286345435657e+00,3.756887720747011800e-02
2.589999999999999858e+00,8.157794041885314540e-01,8.804198284790490936e-01,2.656843822759372920e+00,3.789827822311112732e-02
2.600000000000000089e+00,8.078439823989611579e-01,8.722453624489844293e-01,2.676309510344053066e+00,3.822050180902041711e-02
2.610000000000000320e+00,7.997751494360304525e-01,8.639169077694064391e-01,2.695846814666647440e+00,3.853548137643281191e-02
2.620000000000000107e+00,7.915831428227805278e-01,8.554453505409364000e-01,2.715455201371489657e+00,3.884315834661226235e-02
2.629999999999999893e+00,7.832780127910684564e-01,8.468413974038060399e-01,2.735134136340134248e+00,3.914348200258191413e-02
2.640000000000000124e+00,7.748696095618247126e-01,8.381155613781343661e-01,2.754883085850562630e+00,3.943640932835221213e-02
2.650000000000000355e+00,7.663675718095663836e-01,8.292781486424468662e-01,2.774701516729947137e+00,3.972190483870143701e-02
2.660000000000000142e+00,7.577813162859403651e-01,8.203392468180761288e-01,2.794588896499744735e+00,3.999994040037424536e-02
2.669999999999999929e+00,7.491200285812895654e-01,8.113087142444417310e-01,2.814544693521114915e+00,4.027049504361559368e-02
2.680000000000000160e+00,7.403926549849033645e-01,8.021961704894268186e-01,2.834568377128201533e+00,4.053355476832764398e-02
2.690000000000000391e+00,7.316078954183330429e-01,7.930109879982885079e-01,2.854659417763399709e+00,4.078911234176545858e-02
2.700000000000000178e+00,7.227741973989458835e-01,7.837622848223794181e-01,2.874817287100976948e+00,4.103716709274377733e-02
2.709999999999999964e+00,7.138997509993714186e-01,7.744589184244380364e-01,2.895041458172343596e+00,4.127772469896415913e-02
2.719999999999999751e+00,7.049924847577105913e-01,7.651094804399733995e-01,2.915331405480458216e+00,4.151079697232674254e-02
2.729999999999999982e+00,6.960600625013489973e-01,7.557222924957338606e-01,2.935686605114364411e+00,4.173640163959157351e-02
2.740000000000000213e+00,6.871098810351289332e-01,7.463054029219414742e-01,2.956106534855270418e+00,4.195456212165038501e-02
2.750000000000000000e+00,6.781490686548817814e-01,7.368665843019538420e-01,2.976590674281925253e+00,4.216530730996169429e-02
2.759999999999999787e+00,6.691844844360429478e-01,7.274133319595875724e-01,2.997138504866475373e+00,4.236867134335915025e-02
2.770000000000000018e+00,6.602227182584640142e-01,7.179528632002324384e-01,3.017749510072325947e+00,4.256469338263761670e-02
2.780000000000000249e+00,6.512700915141721447e-01,7.084921171927617278e-01,3.038423175441765878e+00,4.275341738687303550e-02
2.790000000000000036e+00,6.423326584599793332e-01,6.990377557757820881e-01,3.059158988682594504e+00,4.293489188973724502e-02
2.799999999999999822e+00,6.334162081671182998e-01,6.895961647130794958e-01,3.079956439751113884e+00,4.310916977665743555e-02
2.810000000000000053e+00,6.245262670225530943e-01,6.801734556611800375e-01,3.100815020928462395e+00,4.327630806491028492e-02
2.820000000000000284e+00,6.156681017416738566e-01,6.707754686747124939e-01,3.121734226896361264e+00,4.343636768446320490e-02
2.830000000000000071e+00,6.068467228474789810e-01,6.614077752215449246e-01,3.142713554805698806e+00,4.358941326276433853e-02
2.839999999999999858e+00,5.980668885775959343e-01,6.520756817552638696e-01,3.163752504344296668e+00,4.373551291168901317e-02
2.850000000000000089e+00,5.893331091753809536e-01,6.427842335635965965e-01,3.184850577800269811e+00,4.387473801795015865e-02
