P_over_N,iid_natural,diag_lognormal_0,diag_lognormal_1,diag_lognormal_2,diag_lognormal_3,diag_lognormal_4,diag_lognormal_5,rot_powerlaw_0,rot_powerlaw_1,rot_powerlaw_2,rot_powerlaw_3,slice_d4_0,slice_d4_1,slice_d16_0,slice_d16_1,slice_d64_0,slice_d64_1,train_span
2.149999999999999911e+00,1.302108566045722338e+00,1.168344335748343399e+00,1.255435368435284804e+00,1.272718083323228333e+00,1.240650205461173661e+00,1.301977410231949239e+00,1.274125852954219429e+00,1.353293453257114365e+00,1.085712401154680817e+00,1.150566503124987872e+00,1.402978415863157524e+00,1.267524380874150092e+00,8.707085960651459455e-01,1.316663117735551891e+00,1.348995887566258434e+00,1.315270045732542137e+00,1.169291337712676793e+00,2.318495670274665563e-02
2.200000000000000178e+00,1.302407111248905958e+00,1.147514248639429413e+00,1.256924392615174302e+00,1.262079498634445018e+00,1.240040440696574597e+00,1.300110075332010506e+00,1.264035314737798732e+00,1.340939178479449989e+00,1.079060653862569108e+00,1.152339238234136198e+00,1.385646730834132923e+00,1.283033824888793140e+00,8.690082207805378545e-01,1.326643635722583259e+00,1.362995671916457541e+00,1.327053169309682978e+00,1.164753431017425456e+00,2.318495670274667991e-02
2.250000000000000000e+00,1.286742784775180670e+00,1.135604799691626088e+00,1.229449605076710750e+00,1.241778972857572771e+00,1.231657267523860400e+00,1.279643043910625666e+00,1.243692406808824646e+00,1.323183663186515258e+00,1.104360154377092673e+00,1.154954545860281456e+00,1.344127592651665370e+00,1.329535793924601084e+00,7.837315987393936867e-01,1.376936362102949341e+00,1.329964272060410568e+00,1.318302117492819336e+00,1.148736528248406774e+00,2.318495670274667991e-02
2.299999999999999822e+00,1.262909541119759727e+00,1.110425636631562574e+00,1.203788818664708993e+00,1.221968073809571065e+00,1.201704812496156460e+00,1.250521096985221181e+00,1.221680622312498743e+00,1.296636972796249454e+00,1.088050979544721297e+00,1.137277716860740640e+00,1.290509479675455484e+00,1.343489753830632960e+00,8.118049408452646665e-01,1.355355492940150119e+00,1.299126124775725533e+00,1.274335854834093951e+00,1.123445613564481693e+00,2.318495670274672502e-02
2.350000000000000089e+00,1.237040656659566640e+00,1.080088984583111866e+00,1.190642688535600069e+00,1.225777107204876426e+00,1.184680611574646880e+00,1.208815990734604995e+00,1.198173298882402538e+00,1.255393536527827703e+00,1.039767156050912300e+00,1.103560821323460672e+00,1.287932019743947221e+00,1.290920835788736731e+00,7.668120553176261955e-01,1.348352911601852222e+00,1.262162317721752469e+00,1.242969394251291160e+00,1.094654067944715869e+00,2.318495670274671114e-02
2.399999999999999911e+00,1.230067834188597553e+00,1.097131572900736485e+00,1.175804746078293661e+00,1.226000010783091509e+00,1.183542681564761612e+00,1.206915049204366985e+00,1.197322039222415313e+00,1.227070934722957585e+00,1.031192925528253923e+00,1.079071114433273637e+00,1.309412775255259120e+00,1.292581451088226530e+00,7.791261338828979754e-01,1.317292963070920475e+00,1.297696942647115437e+00,1.235701939591455689e+00,1.095892667703089129e+00,2.318495670274677012e-02
2.450000000000000178e+00,1.220193010313590065e+00,1.086564806065750011e+00,1.164814034095058570e+00,1.202698699506017155e+00,1.181384380130432010e+00,1.195947731095526878e+00,1.199139353685343412e+00,1.222938864564899308e+00,1.020519359501059542e+00,1.075646401016812082e+00,1.296136829974219307e+00,1.276043397784004885e+00,7.786418104073328239e-01,1.294417127640172804e+00,1.315546153795646322e+00,1.217988614212201837e+00,1.095598162438943479e+00,2.318495670274671808e-02
2.500000000000000000e+00,1.190267379914072388e+00,1.074738424647860180e+00,1.140863761879209237e+00,1.195290921195945932e+00,1.152092638732971075e+00,1.178652229203160262e+00,1.181778838861873515e+00,1.225131246531221629e+00,1.014857668427534776e+00,1.055822224282837229e+00,1.246429870055623335e+00,1.213565813894656120e+00,7.736149632958408962e-01,1.259859699397524624e+00,1.271312072240923907e+00,1.191849881056841642e+00,1.078221514083786525e+00,2.318495670274673195e-02
2.549999999999999822e+00,1.191359409145128279e+00,1.074582973165029376e+00,1.136760491553796104e+00,1.205286793352676966e+00,1.159334996687169106e+00,1.182198436253431462e+00,1.188387462833490060e+00,1.239475925295149050e+00,1.018126939708887679e+00,1.059900953768511789e+00,1.237560470542544699e+00,1.247807271715372757e+00,7.574989197659386386e-01,1.274127497587857594e+00,1.265704632388994444e+00,1.195287948489938357e+00,1.075809690111043659e+00,2.318495670274672155e-02
2.600000000000000089e+00,1.173571330170410043e+00,1.060246383516967983e+00,1.135859005943304245e+00,1.195479622598072611e+00,1.158328450816651145e+00,1.158908365599950363e+00,1.173337284587136820e+00,1.215232193918971415e+00,9.892284360063758886e-01,1.035549046091860159e+00,1.250485727912748146e+00,1.316988783060721868e+00,7.403147820040411053e-01,1.241841630248087913e+00,1.244684297358869207e+00,1.173878740738293791e+00,1.062808228939719379e+00,2.318495670274677012e-02
